date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,mes,año,resultado,oponente,partidos_previos,porcentaje_ganado
1938-08-08,Bolivia,Ecuador,1,1,Bolivarian Games,Bogotá,Colombia,True,8,1938,empata,Bolivia,0,0.5
1938-08-10,Colombia,Ecuador,1,2,Bolivarian Games,Bogotá,Colombia,False,8,1938,gana,Colombia,0,0.5
1938-08-11,Ecuador,Peru,1,9,Bolivarian Games,Bogotá,Colombia,True,8,1938,pierde,Peru,0,0.5
1938-08-19,Ecuador,Venezuela,5,2,Bolivarian Games,Bogotá,Colombia,True,8,1938,gana,Venezuela,0,0.5
1938-08-22,Bolivia,Ecuador,2,1,Bolivarian Games,Bogotá,Colombia,True,8,1938,pierde,Bolivia,1,0.0
1939-01-15,Peru,Ecuador,5,2,Copa América,Lima,Peru,False,1,1939,pierde,Peru,1,0.0
1939-01-22,Ecuador,Uruguay,0,6,Copa América,Lima,Peru,True,1,1939,pierde,Uruguay,0,0.5
1939-02-05,Chile,Ecuador,4,1,Copa América,Lima,Peru,True,2,1939,pierde,Chile,0,0.5
1939-02-12,Ecuador,Paraguay,1,3,Copa América,Lima,Peru,True,2,1939,pierde,Paraguay,0,0.5
1941-02-02,Chile,Ecuador,5,0,Copa América,Santiago,Chile,False,2,1941,pierde,Chile,1,0.0
1941-02-09,Ecuador,Uruguay,0,6,Copa América,Santiago,Chile,True,2,1941,pierde,Uruguay,1,0.0
1941-02-16,Argentina,Ecuador,6,1,Copa América,Santiago,Chile,True,2,1941,pierde,Argentina,0,0.5
1941-02-23,Ecuador,Peru,0,4,Copa América,Santiago,Chile,True,2,1941,pierde,Peru,2,0.0
1942-01-18,Uruguay,Ecuador,7,0,Copa América,Montevideo,Uruguay,False,1,1942,pierde,Uruguay,2,0.0
1942-01-22,Argentina,Ecuador,12,0,Copa América,Montevideo,Uruguay,True,1,1942,pierde,Argentina,1,0.0
1942-01-25,Ecuador,Paraguay,1,3,Copa América,Montevideo,Uruguay,True,1,1942,pierde,Paraguay,1,0.0
1942-01-28,Ecuador,Peru,1,2,Copa América,Montevideo,Uruguay,True,1,1942,pierde,Peru,3,0.0
1942-01-31,Brazil,Ecuador,5,1,Copa América,Montevideo,Uruguay,True,1,1942,pierde,Brazil,0,0.5
1942-02-05,Chile,Ecuador,2,1,Copa América,Montevideo,Uruguay,True,2,1942,pierde,Chile,2,0.0
1945-01-14,Chile,Ecuador,6,3,Copa América,Santiago,Chile,False,1,1945,pierde,Chile,3,0.0
